from_address,total_increase,avg_increase,call_count,std_increase,total_gas_current,avg_gas_current,total_gas_new,avg_gas_new,unique_contracts,unique_transactions,first_block,last_block,active_blocks,avg_base_size,max_base_size,avg_exp_size,max_exp_size,avg_mod_size,max_mod_size,cost_ratio,activity_span,avg_calls_per_block
0xf0ac778fb2e56bab4edd7f25c2ed2f333d165b8d,0,0.0,63,0.0,85680,1360.0,85680,1360.0,1,21,22228362,22580886,21,32.0,32,32.0,32,32.0,32,1.0,352524,0.00017871072973547975
0xecc015d7b2d23461a552604e0ea2ab225112d954,0,0.0,54,0.0,73440,1360.0,73440,1360.0,1,18,22194415,22254698,18,32.0,32,32.0,32,32.0,32,1.0,60283,0.0008957600690067016
0xeb6ebaa55fa3d431f0046e2101ea1dd26d9658ff,0,0.0,2,0.0,2698,1349.0,2698,1349.0,1,2,22122858,22394951,2,32.0,32,32.0,32,32.0,32,1.0,272093,7.350400964372607e-06
0xe8c20ea8ef100d7aa3846616e5d07a5abb067c65,0,0.0,177,0.0,238773,1349.0,238773,1349.0,1,59,22089609,22580362,59,32.0,32,32.0,32,32.0,32,1.0,490753,0.00036066950040142314
0x125ad1988cf1ec8c2dd7357621ad825603768365,0,0.0,3,0.0,4080,1360.0,4080,1360.0,1,1,22123185,22123185,1,32.0,32,32.0,32,32.0,32,1.0,0,3.0
0x119bded2b517c58f4b6d22b91610ca57d1a02fb0,0,0.0,1,,1349,1349.0,1349,1349.0,1,1,22194104,22194104,1,32.0,32,32.0,32,32.0,32,1.0,0,1.0
0x106b67c3f6d4fff429668b0496d2e4cda55e805b,0,0.0,48,0.0,65280,1360.0,65280,1360.0,1,15,22416295,22581031,15,32.0,32,32.0,32,32.0,32,1.0,164736,0.00029137352264518596
0x10314ac278aa9d431701f49e70273bd6e40c93f7,0,0.0,48,0.0,65280,1360.0,65280,1360.0,1,16,22324734,22481361,16,32.0,32,32.0,32,32.0,32,1.0,156627,0.00030645861531782313
0x0e902b2d0408754271c9e97d81fd2ede279cade6,0,0.0,99,0.0,134640,1360.0,134640,1360.0,1,33,22223003,22524066,33,32.0,32,32.0,32,32.0,32,1.0,301063,0.0003288337363484176
0xe469ee44d92bb173b7edc576ebb09da55dbfe32e,0,0.0,21,0.0,28560,1360.0,28560,1360.0,1,7,22580151,22580693,7,32.0,32,32.0,32,32.0,32,1.0,542,0.03867403314917127
0xe24bfa481cee75e4fd64e14915e6d104f8696159,0,0.0,6,0.0,8160,1360.0,8160,1360.0,1,2,22417233,22417255,2,32.0,32,32.0,32,32.0,32,1.0,22,0.2608695652173913
